# submitted_item	validated_id	current_symbol
FBgn0002593	FBgn0002593	RpLP1
FBgn0003517	FBgn0003517	sta
FBgn0004867	FBgn0004867	RpS2
FBgn0005533	FBgn0005533	RpS17
FBgn0010411	FBgn0010411	RpS18
FBgn0010412	FBgn0010412	RpS19a
FBgn0011272	FBgn0011272	RpL13
FBgn0011284	FBgn0011284	RpS4
FBgn0011787	FBgn0011787	mRpL12
FBgn0014026	FBgn0014026	RpL7A
FBgn0015756	FBgn0015756	RpL9
FBgn0029785	FBgn0029785	RpL35
FBgn0029897	FBgn0029897	RpL17
FBgn0030616	FBgn0030616	RpL37a
FBgn0032518	FBgn0032518	RpL24
FBgn0033912	FBgn0033912	RpS23
FBgn0034138	FBgn0034138	RpS15
FBgn0034743	FBgn0034743	RpS16
FBgn0034968	FBgn0034968	RpL12
FBgn0034986	FBgn0034986	mRpS17
FBgn0035422	FBgn0035422	RpL28
FBgn0035753	FBgn0035753	RpL18
FBgn0037351	FBgn0037351	RpL13A
FBgn0037686	FBgn0037686	RpL34b
FBgn0038834	FBgn0038834	RpS30
FBgn0086472	FBgn0086472	RpS25
FBgn0261597	FBgn0261597	RpS26
FBgn0261599	FBgn0261599	RpS29
FBgn0261602	FBgn0261602	RpL8
FBgn0261608	FBgn0261608	RpL37A
FBgn0011227	FBgn0011227	ox
FBgn0014028	FBgn0014028	SdhB
FBgn0015031	FBgn0015031	cype
FBgn0016120	FBgn0016120	ATPsynD
FBgn0017566	FBgn0017566	ND-75
FBgn0019624	FBgn0019624	COX5A
FBgn0021906	FBgn0021906	RFeSP
FBgn0021967	FBgn0021967	ND-PDSW
FBgn0022097	FBgn0022097	Vha36-1
FBgn0025839	FBgn0025839	ND-B14.5A
FBgn0029888	FBgn0029888	ND-ASHI
FBgn0030610	FBgn0030610	CG9065
FBgn0031436	FBgn0031436	ND-B17.2
FBgn0031771	FBgn0031771	ND-51
FBgn0031830	FBgn0031830	COX5B
FBgn0032833	FBgn0032833	COX4
FBgn0033570	FBgn0033570	ND-B14
FBgn0035046	FBgn0035046	ND-19
FBgn0036728	FBgn0036728	UQCR-Q
FBgn0037873	FBgn0037873	SdhC
FBgn0039112	FBgn0039112	SdhD
FBgn0250814	FBgn0250814	UQCR-C2
FBgn0001091	FBgn0001091	Gapdh1
FBgn0014031	FBgn0014031	Spat
FBgn0023477	FBgn0023477	Taldo
FBgn0027580	FBgn0027580	PCB
FBgn0027945	FBgn0027945	ppl
FBgn0029155	FBgn0029155	Men-b
FBgn0030478	FBgn0030478	CG1640
FBgn0031813	FBgn0031813	CG9527
FBgn0032350	FBgn0032350	CG6287
FBgn0032820	FBgn0032820	fbp
FBgn0034628	FBgn0034628	Acox57D-p
FBgn0037607	FBgn0037607	CG8036
FBgn0037643	FBgn0037643	ScsbetaA
FBgn0037891	FBgn0037891	CG5214
FBgn0038742	FBgn0038742	Arc42
FBgn0261439	FBgn0261439	SdhA
FBgn0262782	FBgn0262782	Mdh1
FBgn0001186	FBgn0001186	Hex-A
FBgn0025352	FBgn0025352	Mtpbeta
FBgn0034432	FBgn0034432	CG7461
FBgn0035383	FBgn0035383	CPT2
FBgn0036824	FBgn0036824	CG3902
FBgn0040064	FBgn0040064	yip2
FBgn0263120	FBgn0263120	Acsl
FBgn0001149	FBgn0001149	GstD1
FBgn0010038	FBgn0010038	GstD2
FBgn0027073	FBgn0027073	Ugt49B1
FBgn0031117	FBgn0031117	GstT3
FBgn0032684	FBgn0032684	Ugt301D1
FBgn0063497	FBgn0063497	GstE3
FBgn0022029	FBgn0022029	l(2)k01209
FBgn0016013	FBgn0016013	Faa
FBgn0036992	FBgn0036992	Hpd
FBgn0037697	FBgn0037697	GstZ2
FBgn0040211	FBgn0040211	hgo
FBgn0010638	FBgn0010638	Sec61beta
FBgn0011584	FBgn0011584	Trp1
FBgn0031049	FBgn0031049	Sec61gamma
FBgn0262801	FBgn0262801	twr
FBgn0011297	FBgn0011297	Alg3
FBgn0029906	FBgn0029906	xit
FBgn0032477	FBgn0032477	Alg7
FBgn0032799	FBgn0032799	Dpm1
FBgn0034277	FBgn0034277	OstDelta
FBgn0035401	FBgn0035401	Alg2
FBgn0053303	FBgn0053303	CG33303
FBgn0020224	FBgn0020224	Cbl
FBgn0026192	FBgn0026192	par-6
FBgn0027363	FBgn0027363	Stam
FBgn0027565	FBgn0027565	CG5498
FBgn0029006	FBgn0029006	Smurf
FBgn0035060	FBgn0035060	Eps-15
FBgn0038862	FBgn0038862	Usp8
FBgn0039773	FBgn0039773	CG2224
FBgn0039924	FBgn0039924	PIP4K
FBgn0086346	FBgn0086346	ALiX
FBgn0261049	FBgn0261049	Vps45
FBgn0261854	FBgn0261854	aPKC
FBgn0263351	FBgn0263351	AP-2mu
FBgn0027535	FBgn0027535	botv
FBgn0031005	FBgn0031005	Hs3st-B
FBgn0033087	FBgn0033087	Hsepi
FBgn0038755	FBgn0038755	Hs6st
FBgn0066114	FBgn0066114	GlcAT-I
FBgn0027552	FBgn0027552	CG10863
FBgn0036183	FBgn0036183	CG6083
FBgn0086254	FBgn0086254	Akr1B
FBgn0086348	FBgn0086348	se
FBgn0263607	FBgn0263607	l(3)72Dp
